,Weekend - Level 2 - Diversified (Median) of 100 EVs
1342,0.9273600000000001
1343,0.9273600000000001
1344,0.9273600000000001
1345,0.9273600000000001
1346,0.9273600000000001
1347,0.9273600000000001
1348,0.9273600000000001
1349,0.9273600000000001
1350,0.9273600000000001
1351,0.9273600000000001
1352,0.9531200000000002
1353,0.9273600000000001
1354,0.9273600000000001
1355,0.9273600000000001
1356,0.9273600000000001
1357,0.9273600000000001
1358,0.9273600000000001
1359,0.9273600000000001
1360,0.87584
1361,0.87584
1362,0.87584
1363,0.87584
1364,0.87584
1365,0.87584
1366,0.87584
1367,0.87584
1368,0.87584
1369,0.87584
1370,0.87584
1371,0.87584
1372,0.87584
1373,0.87584
1374,0.87584
1375,0.87584
1376,0.85008
1377,0.8243199999999999
1378,0.8243199999999999
1379,0.8243199999999999
1380,0.8243199999999999
1381,0.8243199999999999
